         181553967 function calls (161947951 primitive calls) in 91.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   158062    0.224    0.000    0.357    0.000 /mnt/c/Work/guga/syxg/synth/core/panner.py:26(_update_gains)
   743463    0.307    0.000    0.340    0.000 /mnt/c/Work/guga/syxg/synth/modulation/routes.py:31(get_modulation_value)
   316225    0.231    0.000    0.301    0.000 /mnt/c/Work/guga/syxg/synth/sf2/caching/structure_cache.py:66(get_instrument)
        1    0.000    0.000    0.277    0.277 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:292(__init__)
        1    0.000    0.000    0.276    0.276 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:350(_load)
       10    0.023    0.002    0.276    0.028 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:170(read_track)
   316226    0.232    0.000    0.273    0.000 /mnt/c/Work/guga/syxg/synth/sf2/caching/structure_cache.py:114(is_instrument_parsed)
    87517    0.033    0.000    0.267    0.000 {built-in method builtins.any}
   179739    0.066    0.000    0.260    0.000 /mnt/c/Work/guga/syxg/synth/xg/channel_note.py:339(<genexpr>)
   158096    0.199    0.000    0.258    0.000 /mnt/c/Work/guga/syxg/synth/sf2/caching/sample_cache.py:30(get)
   158113    0.210    0.000    0.248    0.000 /mnt/c/Work/guga/syxg/synth/sf2/caching/structure_cache.py:99(is_preset_parsed)
   316226    0.171    0.000    0.220    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:282(<listcomp>)
       11    0.002    0.000    0.217    0.020 {built-in method builtins.sum}
        1    0.000    0.000    0.215    0.215 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:376(length)
    16508    0.004    0.000    0.213    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:387(<genexpr>)
    16480    0.021    0.000    0.210    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:116(read_message)
    16508    0.010    0.000    0.209    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:389(__iter__)
   632887    0.199    0.000    0.199    0.000 {built-in method builtins.min}
   158112    0.130    0.000    0.174    0.000 /mnt/c/Work/guga/syxg/synth/sf2/caching/structure_cache.py:33(get_preset)
    49440    0.059    0.000    0.169    0.000 /home/roger/python/lib/python3.11/site-packages/mido/messages/messages.py:124(copy)
   158062    0.160    0.000    0.160    0.000 /mnt/c/Work/guga/syxg/synth/core/filter.py:165(apply_note_pitch)
   176192    0.159    0.000    0.159    0.000 /mnt/c/Work/guga/syxg/synth/core/oscillator.py:155(_update_phase_step)
   715865    0.155    0.000    0.155    0.000 {built-in method builtins.max}
    16480    0.015    0.000    0.151    0.000 /home/roger/python/lib/python3.11/site-packages/mido/messages/messages.py:154(from_bytes)
