         181553967 function calls (161947951 primitive calls) in 91.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      103    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:3523(ndim)
      103    0.000    0.000    0.000    0.000 {method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects}
       36    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:213(check)
       34    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/parameter_converter.py:115(convert_pan)
       24    0.000    0.000    0.000    0.000 {built-in method math.log}
      153    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/modulation/routes.py:11(__init__)
        9    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:258(decode)
      207    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      103    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/midi/optimized_buffered_processor.py:321(set_block_start_time)
       34    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/xg/channel_note.py:67(<genexpr>)
       17    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/modulation/matrix.py:12(__init__)
       34    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/parameter_converter.py:158(convert_velocity_sense)
        4    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:312(check)
       17    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:331(_calculate_average_filter)
       34    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/parameter_converter.py:77(convert_filter_cutoff)
      103    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:3519(_ndim_dispatcher)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
      192    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/multiarray.py:1106(copyto)
      180    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/multiarray.py:391(where)
      103    0.000    0.000    0.000    0.000 {method 'tobytes' of 'array.array' objects}
       17    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/voice/voice_info.py:14(__init__)
       34    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/voice/voice_manager.py:30(can_allocate_voice)
       72    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      103    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/function_base.py:21(_linspace_dispatcher)
        9    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:151(decode_string)
      103    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:150(dirname)
       36    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:171(check_str)
      102    0.000    0.000    0.000    0.000 {built-in method math.pow}
      104    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/multiarray.py:188(concatenate)
        1    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/caching/structure_cache.py:49(put_preset)
        7    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/voice/voice_manager.py:230(start_voice_release)
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:400(decode)
        1    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/caching/sample_cache.py:47(put)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/contextlib.py:287(helper)
        5    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/voice/voice_manager.py:222(deallocate_voice)
        1    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/caching/structure_cache.py:82(put_instrument)
       10    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/voice/voice_info.py:39(start_release)
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/opuslib/classes.py:160(__del__)
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:211(reshape)
       28    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/parameter_converter.py:45(convert_lfo_rate)
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:305(decode)
        5    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        5    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/xg/manager.py:200(set_pitch_bend)
       14    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:125(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/contextlib.py:104(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        5    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/xg/vectorized_channel_renderer.py:226(control_change)
        9    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
       34    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/parameter_converter.py:94(convert_filter_resonance)
       34    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/parameter_converter.py:145(convert_pitch)
       32    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/core/optimized_xg_synthesizer.py:346(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       14    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:128(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:80(signed)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:389(normpath)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/contextlib.py:141(__exit__)
       28    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/parameter_converter.py:61(convert_lfo_delay)
       34    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/parameter_converter.py:129(convert_attenuation)
       14    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:134(<listcomp>)
       14    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:131(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/contextlib.py:132(__enter__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:418(check)
       10    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:293(decode)
        1    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/caching/sample_cache.py:102(_estimate_sample_size)
        3    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:230(<listcomp>)
        9    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        3    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:233(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
        2    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:155(meta_charset)
        2    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
        3    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:239(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/midi_to_ogg.py:250(_start_keyboard_monitoring)
        3    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:236(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/midi_to_ogg.py:276(_stop_keyboard_monitoring)
        1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/midi/optimized_buffered_processor.py:204(set_buffered_mode_time)
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:206(_reshape_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:1900(_ravel_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:1529(_resize_dispatcher)


